Symbol,Date,Open,High,Low,Close,Volume
FEZ,2005-12-30,40.8500,43.0500,40.8500,42.3800,4794400
FEZ,2006-01-31,43.2800,45.0600,42.7300,44.9900,6474600
FEZ,2006-02-28,44.8200,45.5900,43.7700,44.9400,3887100
FEZ,2006-03-31,45.2300,47.0500,44.1700,46.6300,10120700
FEZ,2006-04-28,46.6500,48.7000,45.5600,48.4500,8257600
FEZ,2006-05-31,48.8000,50.0800,45.7400,47.2100,6855600
FEZ,2006-06-30,47.4100,48.2500,43.0400,46.6500,3760800
FEZ,2006-07-31,46.8000,47.4200,43.4500,47.1100,1751900
FEZ,2006-08-31,46.8300,49.2200,46.3200,48.9800,1833300
FEZ,2006-09-29,48.9400,49.5300,47.3700,49.3800,2548000
FEZ,2006-10-31,49.2900,51.2300,49.0600,51.0700,2914400
FEZ,2006-11-30,51.3100,53.1900,50.5001,52.9100,2113000
FEZ,2006-12-29,52.9100,54.9000,52.1900,54.3000,2307800
FEZ,2007-01-31,55.0100,55.2400,52.7800,54.6700,2160800
FEZ,2007-02-28,54.9000,56.2800,52.8400,53.8500,1744900
FEZ,2007-03-30,52.6400,55.8700,51.2800,55.6500,3718500
FEZ,2007-04-30,55.9300,60.3200,55.5900,60.0100,2818400
FEZ,2007-05-31,60.2600,61.8400,58.9800,61.6900,6056000
FEZ,2007-06-29,61.9300,62.2800,58.9232,60.1800,3286400
FEZ,2007-07-31,60.7700,63.2300,57.3000,58.2400,3178200
FEZ,2007-08-31,58.1000,60.4500,52.4200,58.5400,8259600
FEZ,2007-09-28,58.2000,62.3500,56.9900,62.2800,1681300
FEZ,2007-10-31,61.9500,65.1600,61.2400,65.1000,2618300
FEZ,2007-11-30,63.7800,65.4000,61.4700,64.2900,6884900
FEZ,2007-12-31,64.1200,66.0000,61.4700,62.6600,3369000
FEZ,2008-01-31,63.2600,63.3100,50.2000,55.8799,5047800
FEZ,2008-02-29,56.3500,57.5000,52.0200,54.8200,3970700
FEZ,2008-03-31,55.0201,57.0300,52.6200,56.3500,2866900
FEZ,2008-04-30,56.8900,59.4600,56.8108,58.8500,4294100
FEZ,2008-05-30,58.5008,60.4300,58.1500,58.9700,3254000
FEZ,2008-06-30,58.3100,58.3900,51.2100,51.3100,7932900
FEZ,2008-07-31,50.6500,52.2600,48.7620,51.2700,4765500
FEZ,2008-08-29,51.1600,51.9300,46.8900,48.5100,2862900
FEZ,2008-09-30,48.8500,48.8600,40.0000,42.5900,4398900
FEZ,2008-10-31,42.0400,42.8600,26.5200,32.9500,12639400
FEZ,2008-11-28,32.4400,35.5600,26.0000,30.6200,2367800
FEZ,2008-12-31,29.4100,35.4900,27.8300,34.3500,4391400
FEZ,2009-01-30,34.0000,35.1200,26.5900,28.0800,3134100
FEZ,2009-02-27,27.3800,30.2900,24.2300,24.5900,2623800
FEZ,2009-03-31,23.6900,29.0300,21.9200,27.1500,2079400
FEZ,2009-04-30,26.6700,31.5700,26.5600,30.9200,1249700
FEZ,2009-05-29,31.0360,35.2900,31.0360,35.2800,9979900
FEZ,2009-06-30,36.1100,36.8000,32.0600,33.3000,3016700
FEZ,2009-07-31,33.8000,37.3200,30.9900,37.1700,2008800
FEZ,2009-08-31,37.6400,40.1900,36.0000,39.3000,1456300
FEZ,2009-09-30,38.7300,42.5200,37.4800,41.3300,1141600
FEZ,2009-10-30,40.8500,43.6365,39.3700,39.6600,1269200
FEZ,2009-11-30,39.8900,43.4937,38.9819,41.7000,970600
FEZ,2009-12-31,42.6100,43.2781,40.2600,41.4800,892200
FEZ,2010-01-29,42.4800,43.3000,37.3700,37.4400,984900
FEZ,2010-02-26,38.2100,39.1700,34.7719,36.6100,1164100
FEZ,2010-03-31,36.7700,39.7900,36.7001,38.9000,648800
FEZ,2010-04-30,39.4000,40.5800,35.7899,36.6600,603400
FEZ,2010-05-28,36.7700,37.0000,29.8500,32.2200,2020200
FEZ,2010-06-30,31.5500,34.3000,29.8900,30.5700,1709900
FEZ,2010-07-30,31.0600,36.1200,30.6800,35.2000,1034300
FEZ,2010-08-31,36.1100,36.9600,31.9200,32.5800,723800
FEZ,2010-09-30,33.7800,37.4200,33.6500,36.7100,778100
FEZ,2010-10-29,37.3000,39.8190,36.1700,38.9800,802300
FEZ,2010-11-30,39.0299,40.5914,33.8200,34.0400,839400
FEZ,2010-12-31,35.1000,38.0000,34.9956,36.8400,890400
FEZ,2011-01-31,37.0900,40.5819,34.9800,39.9500,1066700
FEZ,2011-02-28,40.4900,41.3400,39.7200,40.9600,1142700
FEZ,2011-03-31,41.0300,41.1200,36.5000,40.7100,1413200
FEZ,2011-04-29,40.8710,44.2000,39.5200,44.0300,433000
FEZ,2011-05-31,44.2600,44.4220,39.2600,41.6600,474700
FEZ,2011-06-30,41.3300,41.3400,37.6100,40.5950,926300
FEZ,2011-07-29,40.3600,41.1800,36.0400,37.4700,706300
FEZ,2011-08-31,37.6800,37.6800,29.5900,32.6600,3927500
FEZ,2011-09-30,32.2900,32.7100,26.1000,28.2800,1939700
FEZ,2011-10-31,27.8500,35.1504,26.6800,32.2900,1355300
FEZ,2011-11-30,30.2600,32.2500,27.3300,31.0310,1621600
FEZ,2011-12-30,30.8400,31.6390,27.8000,29.5100,2142000
FEZ,2012-01-31,30.3400,31.9800,28.5000,31.2800,3662800
FEZ,2012-02-29,31.9700,33.6700,31.6200,32.9300,7282900
FEZ,2012-03-30,33.2400,34.0300,31.2800,32.4500,5620200
FEZ,2012-04-30,32.1200,32.8600,28.8800,30.2700,6544800
FEZ,2012-05-31,30.3700,30.7000,26.0700,26.4400,12136100
FEZ,2012-06-29,25.9700,28.2500,25.6370,28.2200,9874800
FEZ,2012-07-31,28.3300,28.7500,25.2900,28.0200,10421400
FEZ,2012-08-31,28.2700,30.6260,26.7800,30.0800,10631100
FEZ,2012-09-28,30.3900,33.7500,30.0700,31.0300,14256000
FEZ,2012-10-31,31.5100,33.2600,30.9400,31.9200,12176500
FEZ,2012-11-30,32.2200,33.2000,30.2700,33.0200,13787500
FEZ,2012-12-31,33.3300,34.8149,32.8800,34.6600,10347200
FEZ,2013-01-31,35.1300,36.5000,34.4200,35.9400,17198000
FEZ,2013-02-28,36.2600,36.5201,32.8200,33.6800,14543900
FEZ,2013-03-28,33.2000,35.0200,32.4100,33.0400,19870200
FEZ,2013-04-30,33.0700,35.4060,32.5200,35.2900,21052000
FEZ,2013-05-31,35.2500,36.8600,34.8600,35.7900,23771100
FEZ,2013-06-28,35.9600,36.2800,32.0700,33.1300,28920600
FEZ,2013-07-31,33.5500,36.3400,32.4300,36.0700,14041400
FEZ,2013-08-30,36.4300,37.3800,35.1500,35.2700,23154400
FEZ,2013-09-30,35.7800,39.2000,35.2300,38.4100,22338400
FEZ,2013-10-31,38.6100,41.2900,38.3500,40.8250,46265000
FEZ,2013-11-29,40.6400,41.4500,39.5200,41.1700,43203700
FEZ,2013-12-31,40.9900,42.4270,39.3450,42.2000,29736300
FEZ,2014-01-31,41.2300,42.3964,39.3900,39.7600,41861600
FEZ,2014-02-28,39.6200,42.6299,38.8500,42.3600,36890600
FEZ,2014-03-31,41.4500,43.0000,40.5800,42.6600,27802400
FEZ,2014-04-30,43.1500,43.7480,41.5900,43.6800,40385600
FEZ,2014-05-30,43.4200,44.2800,42.8701,44.2600,33676400
FEZ,2014-06-30,44.2300,45.2600,42.7300,43.2700,34945600
FEZ,2014-07-31,43.5200,43.9050,40.7100,40.7600,33753700
FEZ,2014-08-29,40.6000,41.3600,39.1401,40.8600,46575700
FEZ,2014-09-30,40.9500,41.8100,39.3600,39.7000,41579651
FEZ,2014-10-31,39.5200,39.5400,35.2600,38.2700,64203441
FEZ,2014-11-28,37.9100,39.7200,37.0400,39.6200,35075716
FEZ,2014-12-31,39.6200,39.6900,36.2200,36.8600,56076390
FEZ,2015-01-30,37.0200,37.8000,34.7600,36.8900,61285020
FEZ,2015-02-27,37.0500,39.4800,36.7500,39.2600,49975396
FEZ,2015-03-31,39.3700,39.9187,37.3100,38.8200,63372238
FEZ,2015-04-30,39.3100,40.3600,38.6200,39.6200,45214614
FEZ,2015-05-29,39.8600,40.8100,38.8500,39.0300,40825677
FEZ,2015-06-30,39.0700,40.3299,37.1054,37.4300,61818650
FEZ,2015-07-31,37.9800,39.2499,35.1200,38.5800,67636050
FEZ,2015-08-31,38.9300,39.6199,33.7900,35.7700,57755435
FEZ,2015-09-30,35.0600,36.6200,33.0150,33.8500,61032523
FEZ,2015-10-30,33.8300,37.1100,33.3700,36.6200,40395853
FEZ,2015-11-30,37.0800,37.1700,34.9500,36.1200,32018826
FEZ,2015-12-31,36.2900,36.3450,33.8400,34.4300,58979960
FEZ,2016-01-29,33.6100,33.7000,30.2442,32.3300,87071162
FEZ,2016-02-29,31.9400,32.2850,29.6350,30.9400,80888954
FEZ,2016-03-31,31.5100,33.8400,31.4200,33.2300,71935932
FEZ,2016-04-29,32.4800,34.8550,31.6300,34.1000,56396709
FEZ,2016-05-31,34.2800,34.4100,32.3750,33.8900,63829675
FEZ,2016-06-30,33.6600,34.4700,28.6000,31.1700,105138902
FEZ,2016-07-29,31.2700,32.5900,29.5000,32.5650,55493597
FEZ,2016-08-31,32.2300,33.3100,31.5600,32.8500,30097532
FEZ,2016-09-30,33.0000,33.9300,31.7300,32.7600,43140916
FEZ,2016-10-31,32.5700,33.0000,31.6600,32.5700,34027547
FEZ,2016-11-30,32.7000,32.7100,30.9500,31.3800,45491169
FEZ,2016-12-30,31.3700,33.7300,31.0600,33.4600,51102885
FEZ,2017-01-31,33.4400,34.8100,33.4000,34.0200,38796230
FEZ,2017-02-28,34.2000,34.4400,33.4550,34.1900,41359110
FEZ,2017-03-31,34.6400,36.6100,34.5650,36.3500,64556926
FEZ,2017-04-28,36.2500,38.3100,35.3800,37.8300,78219886
FEZ,2017-05-31,38.0200,39.9300,37.8300,39.5400,104987463
FEZ,2017-06-30,39.5800,40.2200,38.1800,38.4700,72678084
FEZ,2017-07-31,38.5500,39.7991,38.2500,39.7200,42140031
FEZ,2017-08-31,40.0200,40.3900,39.0900,39.7700,57183148
FEZ,2017-09-29,39.9900,41.3100,39.3900,41.2500,49864881
FEZ,2017-10-31,41.0200,41.7400,40.9500,41.6500,39508549
FEZ,2017-11-30,41.8400,41.9200,40.3300,41.3900,46020290
FEZ,2017-12-29,41.1000,41.4600,40.5300,40.7100,60059302
FEZ,2018-01-31,40.7400,44.2300,40.7000,43.5400,67031467
FEZ,2018-02-28,43.3100,43.5900,38.7500,40.5500,124470749
FEZ,2018-03-29,40.3500,41.2500,39.1800,40.2700,91323601
FEZ,2018-04-30,40.2400,42.1500,39.4100,41.6000,54458969
FEZ,2018-05-31,41.5700,41.9900,38.7400,39.6100,67381023
FEZ,2018-06-29,40.0800,40.8800,37.6300,38.3300,78215633
FEZ,2018-07-31,37.9600,40.1900,37.9200,40.0000,63103654
FEZ,2018-08-31,39.8500,39.9200,36.7700,38.2800,81360602
FEZ,2018-09-28,37.6100,39.3300,36.8300,38.2700,54811713
FEZ,2018-10-31,38.5300,38.6000,34.1600,35.1400,106033421
FEZ,2018-11-30,35.5200,36.3200,34.3000,35.0800,97201058
FEZ,2018-12-31,35.5500,35.6000,31.9500,33.2700,136922896
FEZ,2019-01-31,32.8100,35.4700,32.6600,35.2500,82258336
FEZ,2019-02-28,35.2400,36.5500,34.4100,36.4300,59204273
FEZ,2019-03-29,36.7800,37.7000,35.7700,36.5800,76688936
FEZ,2019-04-30,36.8900,38.5900,36.8200,38.5500,60459169
FEZ,2019-05-31,38.5800,38.6900,36.0700,36.2900,59530151
FEZ,2019-06-28,36.4700,39.0500,36.3600,38.3000,44024215
FEZ,2019-07-31,38.6300,38.8200,36.8700,37.1500,42715697
FEZ,2019-08-30,37.1800,37.5500,35.2600,36.6600,92221794
FEZ,2019-09-30,36.3900,38.2700,36.3200,37.7400,51005907
FEZ,2019-10-31,37.6900,39.3000,36.1800,39.1700,64401831
FEZ,2019-11-29,39.3700,40.0700,39.3100,39.7200,30908413
FEZ,2019-12-31,39.5000,41.0300,38.8000,40.7900,30549539
FEZ,2020-01-31,41.1300,41.2700,38.9700,39.1000,35251319
FEZ,2020-02-28,39.2400,40.8600,35.0200,35.9700,49804568
FEZ,2020-03-31,36.0600,37.6200,24.2900,29.5100,91986726
FEZ,2020-04-30,28.4500,31.8400,27.6600,31.0700,66019021
FEZ,2020-05-29,30.6000,33.6800,28.5800,33.3600,77545066
FEZ,2020-06-30,33.5800,37.6100,33.5500,35.5300,69012704
FEZ,2020-07-31,35.2600,38.3600,35.2200,36.5500,61971478
FEZ,2020-08-31,37.0800,38.8900,36.9380,38.1000,56601401
FEZ,2020-09-30,38.1600,39.0100,35.1000,36.3500,94370147
FEZ,2020-10-30,36.5000,37.9550,33.2050,33.5900,77062331
FEZ,2020-11-30,34.1700,41.2200,33.9100,40.3300,74070886
FEZ,2020-12-31,41.0200,42.5417,40.3150,41.7200,35383330
FEZ,2021-01-29,42.7700,43.2400,40.6000,40.7600,31856548
FEZ,2021-02-26,41.4100,43.9500,41.1300,42.4800,25677947
FEZ,2021-03-31,42.9600,44.8100,42.2441,44.5100,39004858
FEZ,2021-04-30,44.8400,47.4000,44.8057,46.4700,25536646
FEZ,2021-05-28,46.9700,48.7200,45.8300,48.6100,41495241
FEZ,2021-06-30,49.0600,49.3800,46.6250,46.8300,33747560
FEZ,2021-07-30,46.9000,47.5200,44.6800,47.0300,47228293
FEZ,2021-08-31,47.4300,48.3450,46.5450,47.9400,30153256
FEZ,2021-09-30,48.3000,48.6200,45.1300,45.2900,54680468
FEZ,2021-10-29,45.5000,47.9850,44.6900,47.7500,39705654
FEZ,2021-11-30,47.9300,49.1400,44.2600,44.7700,42049420
FEZ,2021-12-31,45.6900,46.8200,44.3600,46.6600,61359982
FEZ,2022-01-31,47.0500,47.7700,43.4850,45.3300,56800121
FEZ,2022-02-28,45.8000,46.4700,40.5400,41.7400,71724453
FEZ,2022-03-31,41.2200,43.0000,35.8200,41.1500,131669191
FEZ,2022-04-29,41.6000,41.7600,37.4400,37.9600,92818923
FEZ,2022-05-31,37.8800,40.0600,36.0100,39.8500,122814476
FEZ,2022-06-30,39.9000,40.4250,34.0400,34.7900,56606429
FEZ,2022-07-29,34.2800,36.5250,32.1850,36.4900,61669441
FEZ,2022-08-31,36.4000,37.4200,33.7900,33.8400,40799860
FEZ,2022-09-30,33.2300,35.5850,30.2500,30.7600,68900153
FEZ,2022-10-31,31.1600,34.8700,30.1300,34.2700,62963952
FEZ,2022-11-30,34.9900,40.1250,33.2800,40.0500,67082354
FEZ,2022-12-30,40.2600,41.2400,38.4100,38.7000,45765306
FEZ,2023-01-31,39.4300,43.7000,39.0600,43.5500,44762860
FEZ,2023-02-28,43.5800,44.5000,42.1900,42.8500,38093025
FEZ,2023-03-31,43.4500,45.0600,40.6350,44.9000,57084446
FEZ,2023-04-28,44.9600,46.6800,44.7300,46.3200,30357428
FEZ,2023-05-31,46.4500,46.5200,43.7200,44.0400,30328806
FEZ,2023-06-30,44.2000,47.0000,44.1500,45.9800,31720653
FEZ,2023-07-31,45.9300,47.3950,43.7700,47.0300,27381628
FEZ,2023-08-31,46.4900,46.6100,43.4100,44.5800,28053643
FEZ,2023-09-29,44.8600,44.8900,41.1000,42.0100,28210548
FEZ,2023-10-31,41.7600,42.7800,40.2300,41.1500,34629853
FEZ,2023-11-30,41.1700,46.0650,41.0300,45.7300,30932578
FEZ,2023-12-29,45.7000,48.1900,45.6400,47.8100,27074821
FEZ,2024-01-31,47.2100,48.5300,45.4350,47.8500,29578487
FEZ,2024-02-29,48.0600,50.8500,47.5500,50.7100,19441934
FEZ,2024-03-28,50.6600,52.8100,50.4100,52.5500,22624863
FEZ,2024-04-30,52.6300,53.0167,49.8900,50.5000,35568034
FEZ,2024-05-31,50.4200,53.9300,50.1100,52.9300,20489704
FEZ,2024-06-28,53.1900,53.8400,49.7650,50.0300,34848062
FEZ,2024-07-31,50.7700,52.5400,49.3400,50.3100,30138466
FEZ,2024-08-30,49.6800,52.7750,47.1100,52.5300,24315734
FEZ,2024-09-30,52.3500,54.1600,49.8300,53.2400,20133861
FEZ,2024-10-31,52.9900,53.0600,49.8100,50.2500,14148536
FEZ,2024-11-29,50.5600,50.9900,47.3650,48.5700,35170879
FEZ,2024-12-03,48.4900,49.1600,48.1100,49.0400,3052061
